year,season,discipline,startDate,endDate,organisingFederationCode,eventName,eventVenue,eventLevel,eventTypes,localOrganisers,region,information,eventorUrl,entryType,entryDeadlines,eventStatus,punchingSystem,websiteUrl,numberOfCompetitions,eventForm,competitionFormat,numberOfEntries,numberOfFemaleResults,numberOfMaleResults,numberOfUnknownGenderResults
,,SkiO,,,FIN,KEV Ski-O selection,Kuusamo - Oivanki,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5241,Individual,2015-12-28 21:59:59,Completed,Emit,http://www.kev.fi,0,Individual,Sprint,0,31,23,0
,,SkiO,,,FIN,KEV Ski-O selection,Kuusamo - Oivanki,World Ranking Event,World Ranking Event,,Europe,Event information (Bulletins etc.) can be found from KEV Ski-O Selection's 2.1.2015 Eventor page:   http://eventor.orienteering.org/Events/Show/5241,https://eventor.orienteering.org/Events/Show/5242,Individual,2015-12-28 21:59:59,Completed,Emit,http://www.kev.fi,0,Individual,Middle,0,30,20,0
,,FootO,,,RSA,Big 5 Orienteering - Day 5,Ngodwana,World Ranking Event,World Ranking Event,BIG5 Orienteering NPC,Africa,,https://eventor.orienteering.org/Events/Show/4975,Individual,2015-12-01 21:59:59,Completed,Emit,http://www.roc.org.za,0,Individual,Sprint,3,26,21,0
,,SkiO,,,NOR,Ski-o-treff sprint,Natrudstilen,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5336,Individual,,Completed,Emit,,0,Individual,Sprint,0,16,14,0
,,SkiO,,,GER,World Masters Ski Orienteering Championships 2016,,Major Event,World Masters,,Europe,,https://eventor.orienteering.org/Events/Show/5084,Individual,,Approved,Manual,http://ski-orienteering.de/,3,Individual,Long; Middle,0,0,0,0
,,SkiO,,,GER,Ski Orienteering World Cup 2015-2016 Round 2,,Major Event,World Cup,,Europe,,https://eventor.orienteering.org/Events/Show/5083,Individual,2016-01-10 22:59:59,Entries opened,Manual,http://www.ski-orienteering.de,5,Individual; Relay,Long; Middle; Sprint,107,0,0,0
,,FootO,,,ESP,I TCR 1er Trofeo Tierra de Ciudad Rodrigo - Campeonato Ibérico Masculino,Fuenteguinaldo - El Potril,World Ranking Event,World Ranking Event,Escondite Nature Sport M,Europe,,https://eventor.orienteering.org/Events/Show/5149,Individual,2016-01-15 22:59:59; 2016-01-17 22:59:59,Completed,SportIdent,http://www.esconditenats.com,0,Individual,Long,26,35,15,0
,,SkiO,,,SUI,Ski-OL Schweizer Meisterschaft Lang,Prémanon,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5410,Individual,,Completed,SportIdent,http://www.ski-o-swiss.ch,0,Individual,Long,0,12,4,0
,,FootO,,,POR,Lisbon International Orienteering Meeting (LIOM),Lisbon - PORTUGAL,World Ranking Event,World Ranking Event,CPOC,Europe,,https://eventor.orienteering.org/Events/Show/5181,Individual,2016-01-25 23:59:59,Completed,SportIdent,http://www.cpoc.pt,0,Individual,Sprint,53,53,25,0
,,FootO,,,POR,Lisbon International Orienteering Meeting (LIOM),Sesimbra - PORTUGAL,World Ranking Event,World Ranking Event,CPOC,Europe,,https://eventor.orienteering.org/Events/Show/5182,Individual,2016-01-25 23:59:59,Completed,SportIdent,http://liom.cpoc.pt,0,Individual,Long,59,51,25,0
